ingredient_id,recipe_id,ingredient_name,quantity,unit
1,1,Carrot,5,pieces
2,1,Beef,313,g
3,1,Chili Powder,3,tsp
4,1,Soy Sauce,1,tbsp
5,1,Cream,230,ml
6,1,Mushroom,114,g
7,2,Garlic,3,cloves
8,2,Mushroom,496,g
9,2,Cheese,156,g
10,2,Olive Oil,3,tbsp
11,2,Onion,5,pieces
12,3,Butter,64,g
13,3,Carrot,3,pieces
14,3,Garlic,1,cloves
15,3,Olive Oil,5,tbsp
16,3,Milk,340,ml
17,3,Egg,9,pieces
18,3,Salt,1,tsp
19,3,Rice,259,g
20,4,Carrot,6,pieces
21,4,Beef,501,g
22,4,Butter,559,g
23,4,Egg,4,pieces
24,5,Egg,2,pieces
25,5,Carrot,1,pieces
26,5,Cream,322,ml
27,5,Butter,560,g
28,6,Beef,570,g
29,6,Mushroom,735,g
30,6,Garlic,2,cloves
31,6,Cream,67,ml
32,6,Tomato,4,pieces
33,6,Cheese,75,g
34,7,Beef,629,g
35,7,Egg,3,pieces
36,7,Soy Sauce,3,tbsp
37,7,Salt,1,tsp
38,7,Potato,3,pieces
39,7,Onion,2,pieces
40,7,Chicken,101,g
41,8,Soy Sauce,5,tbsp
42,8,Garlic,1,cloves
43,8,Rice,677,g
44,8,Olive Oil,4,tbsp
45,8,Carrot,9,pieces
46,8,Butter,701,g
47,9,Olive Oil,4,tbsp
48,9,Pepper,3,tsp
49,9,Potato,10,pieces
50,9,Salt,3,tsp
51,9,Pasta,400,g
52,9,Milk,184,ml
53,9,Cream,79,ml
54,9,Carrot,10,pieces
55,10,Carrot,9,pieces
56,10,Cream,238,ml
57,10,Onion,9,pieces
58,10,Potato,5,pieces
59,10,Cheese,517,g
60,10,Pasta,472,g
61,10,Garlic,3,cloves
62,11,Cheese,565,g
63,11,Rice,687,g
64,11,Salt,2,tsp
65,11,Soy Sauce,1,tbsp
66,11,Chili Powder,3,tsp
67,11,Pasta,490,g
68,12,Pepper,2,tsp
69,12,Cheese,174,g
70,12,Chili Powder,3,tsp
71,12,Cream,117,ml
72,12,Chicken,476,g
73,12,Potato,1,pieces
74,13,Pasta,541,g
75,13,Salt,2,tsp
76,13,Butter,445,g
77,13,Pepper,3,tsp
78,13,Chicken,527,g
79,13,Egg,9,pieces
80,14,Pasta,271,g
81,14,Egg,8,pieces
82,14,Tomato,2,pieces
83,14,Chicken,458,g
84,14,Olive Oil,4,tbsp
85,15,Cheese,172,g
86,15,Chicken,521,g
87,15,Chili Powder,2,tsp
88,15,Garlic,2,cloves
89,15,Cream,464,ml
90,15,Pasta,613,g
91,15,Mushroom,595,g
92,16,Chili Powder,1,tsp
93,16,Garlic,3,cloves
94,16,Egg,6,pieces
95,16,Cheese,774,g
96,16,Pasta,462,g
97,17,Beef,706,g
98,17,Potato,1,pieces
99,17,Onion,10,pieces
100,17,Chicken,479,g
101,18,Tomato,4,pieces
102,18,Chicken,281,g
103,18,Milk,370,ml
104,18,Pasta,106,g
105,18,Onion,7,pieces
106,18,Garlic,1,cloves
107,18,Cheese,295,g
108,19,Pasta,592,g
109,19,Onion,9,pieces
110,19,Chicken,210,g
111,19,Tomato,2,pieces
112,19,Potato,2,pieces
113,19,Salt,1,tsp
114,19,Garlic,2,cloves
115,19,Egg,10,pieces
116,20,Pepper,1,tsp
117,20,Soy Sauce,1,tbsp
118,20,Cheese,388,g
119,20,Milk,57,ml
120,20,Butter,559,g
121,20,Chili Powder,3,tsp
122,20,Carrot,2,pieces
123,20,Rice,194,g
124,21,Rice,482,g
125,21,Mushroom,476,g
126,21,Pasta,69,g
127,21,Potato,7,pieces
128,21,Garlic,2,cloves
129,21,Milk,341,ml
130,22,Garlic,1,cloves
131,22,Cream,323,ml
132,22,Pasta,782,g
133,22,Milk,170,ml
134,22,Egg,5,pieces
135,22,Soy Sauce,5,tbsp
136,22,Onion,6,pieces
137,22,Chili Powder,3,tsp
138,23,Egg,3,pieces
139,23,Beef,168,g
140,23,Milk,302,ml
141,23,Tomato,6,pieces
142,23,Potato,4,pieces
143,24,Chili Powder,2,tsp
144,24,Mushroom,98,g
145,24,Soy Sauce,1,tbsp
146,24,Egg,4,pieces
147,24,Chicken,702,g
148,24,Milk,297,ml
149,24,Butter,511,g
150,25,Milk,308,ml
151,25,Potato,3,pieces
152,25,Pepper,3,tsp
153,25,Garlic,3,cloves
154,25,Chicken,103,g
155,25,Mushroom,535,g
156,26,Potato,4,pieces
157,26,Garlic,2,cloves
158,26,Milk,344,ml
159,26,Olive Oil,3,tbsp
160,26,Salt,1,tsp
161,27,Olive Oil,4,tbsp
162,27,Cheese,328,g
163,27,Soy Sauce,2,tbsp
164,27,Chili Powder,1,tsp
165,27,Tomato,7,pieces
166,27,Beef,194,g
167,27,Pasta,746,g
168,27,Salt,3,tsp
169,28,Cream,323,ml
170,28,Beef,72,g
171,28,Carrot,5,pieces
172,28,Onion,10,pieces
173,28,Tomato,3,pieces
174,28,Olive Oil,4,tbsp
175,28,Mushroom,128,g
176,28,Egg,8,pieces
177,29,Salt,3,tsp
178,29,Onion,6,pieces
179,29,Milk,196,ml
180,29,Pasta,151,g
181,29,Potato,5,pieces
182,29,Egg,2,pieces
183,29,Chicken,557,g
184,30,Rice,773,g
185,30,Cheese,70,g
186,30,Mushroom,452,g
187,30,Carrot,7,pieces
188,30,Olive Oil,2,tbsp
189,30,Soy Sauce,2,tbsp
190,31,Chili Powder,2,tsp
191,31,Mushroom,738,g
192,31,Chicken,610,g
193,31,Pasta,632,g
194,31,Olive Oil,1,tbsp
195,32,Mushroom,145,g
196,32,Tomato,6,pieces
197,32,Garlic,3,cloves
198,32,Rice,773,g
199,32,Milk,79,ml
200,32,Salt,3,tsp
201,32,Butter,255,g
202,32,Pasta,707,g
203,33,Milk,399,ml
204,33,Mushroom,262,g
