recipe_id,name,cuisine,cooking_time,difficulty
1,Fried Rice 1,Italian,38,Easy
2,Fish Tacos 2,French,53,Medium
3,BBQ Chicken 3,American,22,Easy
4,Pasta Alfredo 4,Greek,30,Hard
5,Garlic Noodles 5,Greek,22,Hard
6,Pasta Alfredo 6,British,90,Medium
7,Mushroom Risotto 7,Mexican,80,Hard
8,Beef Burger 8,British,59,Easy
9,Vegetable Curry 9,Thai,45,Hard
10,Fried Rice 10,Japanese,12,Easy
11,Fried Rice 11,Greek,99,Easy
12,Vegetable Soup 12,Japanese,120,Easy
13,Beef Stir Fry 13,Japanese,62,Hard
14,Beef Burger 14,British,118,Medium
15,BBQ Chicken 15,Mexican,58,Easy
16,Pasta Alfredo 16,Mexican,68,Hard
17,Pasta Alfredo 17,Thai,95,Easy
18,Beef Stir Fry 18,Thai,27,Easy
19,Cheese Pizza 19,American,86,Easy
20,Beef Burger 20,British,36,Hard
21,Vegetable Curry 21,Chinese,40,Easy
22,Chicken Alfredo 22,Indian,11,Medium
23,Chicken Curry 23,Chinese,86,Easy
24,Lamb Stew 24,British,81,Hard
25,Pasta Alfredo 25,Thai,15,Hard
26,Tomato Pasta 26,French,50,Medium
27,Garlic Noodles 27,Italian,86,Hard
28,Fish Tacos 28,Mexican,24,Medium
29,Fried Rice 29,American,71,Medium
30,Tomato Pasta 30,American,12,Easy
31,Beef Burger 31,Japanese,27,Medium
32,Chicken Alfredo 32,American,15,Medium
33,Grilled Salmon 33,Thai,43,Hard
34,Beef Burger 34,Japanese,112,Easy
35,Garlic Noodles 35,Greek,63,Medium
36,Mushroom Risotto 36,Thai,65,Easy
37,Vegetable Curry 37,Chinese,76,Hard
38,Beef Stir Fry 38,French,102,Easy
39,Beef Burger 39,Mexican,13,Easy
40,Vegetable Soup 40,Japanese,11,Medium
41,BBQ Chicken 41,Japanese,19,Easy
42,Beef Burger 42,Greek,103,Easy
43,Mushroom Risotto 43,American,70,Easy
44,Mushroom Risotto 44,British,103,Easy
45,Tomato Pasta 45,French,35,Medium
46,Tomato Pasta 46,Japanese,54,Hard
47,Pasta Alfredo 47,Indian,96,Medium
48,Chicken Curry 48,Japanese,22,Easy
49,Egg Fried Rice 49,Japanese,69,Easy
50,Pasta Alfredo 50,Japanese,40,Medium
51,Beef Burger 51,Indian,48,Easy
52,Tomato Pasta 52,Mexican,74,Easy
53,Egg Fried Rice 53,British,67,Easy
54,Chicken Alfredo 54,Mexican,34,Medium
55,Chicken Alfredo 55,Italian,93,Medium
56,Tomato Pasta 56,French,48,Medium
57,Pasta Alfredo 57,Chinese,117,Easy
58,Garlic Noodles 58,Indian,91,Easy
59,Fried Rice 59,Thai,90,Medium
60,BBQ Chicken 60,American,50,Medium
61,Tomato Pasta 61,French,97,Easy
62,Garlic Noodles 62,French,55,Hard
63,Cheese Pizza 63,Greek,107,Easy
64,Garlic Noodles 64,Indian,46,Easy
65,Chicken Curry 65,Thai,111,Hard
66,Vegetable Soup 66,American,14,Medium
67,Tomato Pasta 67,Mexican,31,Hard
68,Grilled Salmon 68,Mexican,60,Easy
69,Beef Burger 69,Mexican,31,Hard
70,Mushroom Risotto 70,Mexican,55,Easy
71,Tomato Pasta 71,Greek,75,Medium
72,Lamb Stew 72,American,15,Hard
73,Beef Stir Fry 73,Mexican,61,Medium
74,Garlic Noodles 74,Indian,85,Hard
75,Lamb Stew 75,Chinese,116,Medium
76,Egg Fried Rice 76,French,28,Hard
77,Vegetable Soup 77,Mexican,110,Hard
78,Chicken Alfredo 78,American,64,Hard
79,Vegetable Curry 79,Italian,46,Medium
80,Tomato Pasta 80,Thai,41,Easy
81,Chicken Curry 81,Japanese,16,Medium
82,Garlic Noodles 82,Indian,42,Hard
83,Tomato Pasta 83,French,42,Hard
84,Fried Rice 84,Italian,114,Hard
85,Egg Fried Rice 85,Thai,83,Easy
86,Lamb Stew 86,Mexican,74,Easy
