review_id,recipe_id,username,rating,comment
1,1,Alice,5,Amazing curry
2,1,Bob,4,Very tasty
3,2,Charlie,5,Easy to make
4,3,David,3,Good but salty
5,4,Ella,5,Healthy recipe
6,5,Frank,4,Nice soup
7,546,Casey,1,Loved it
8,861,Sam,5,Great recipe
9,465,Casey,1,Great recipe
10,115,Sam,4,Family favorite
11,736,Reese,2,Very simple and quick
12,726,Jamie,3,Loved it
13,581,Sam,1,Great recipe
14,958,Taylor,5,Family favorite
15,294,Reese,4,Great recipe
16,1112,Reese,2,Pretty good overall
17,1731,Riley,5,Would make again
18,538,Riley,4,Family favorite
19,1521,Avery,1,Very simple and quick
20,925,Jamie,1,Family favorite
21,895,Sam,4,Would make again
22,1945,Sam,1,Family favorite
23,325,Avery,1,Would make again
24,547,Alex,1,Excellent dish
25,51,Alex,4,Pretty good overall
26,1418,Taylor,2,Family favorite
27,771,Morgan,3,Excellent dish
28,894,Avery,1,Great recipe
29,232,Casey,4,Pretty good overall
30,1334,Sam,5,Not bad at all
31,578,Jamie,5,Great recipe
32,1924,Casey,5,Not bad at all
33,1563,Quinn,2,Too salty for my taste
34,383,Reese,3,Excellent dish
35,1832,Quinn,1,Pretty good overall
36,375,Avery,4,Too salty for my taste
37,1761,Drew,4,Very simple and quick
38,553,Avery,3,Excellent dish
39,1056,Sam,4,Loved it
40,1367,Jamie,4,Not bad at all
41,1584,Riley,5,Would make again
42,1047,Jamie,5,Great recipe
43,704,Reese,2,Family favorite
44,1399,Quinn,1,Loved it
45,362,Sam,3,Not bad at all
46,1570,Reese,2,Too salty for my taste
47,1002,Avery,4,Excellent dish
48,958,Riley,1,Pretty good overall
49,1242,Riley,1,Family favorite
50,1008,Avery,2,Not bad at all
51,916,Morgan,1,Very simple and quick
52,1990,Sam,2,Would make again
53,1511,Casey,1,Pretty good overall
54,68,Quinn,3,Pretty good overall
55,1569,Riley,4,Not bad at all
56,438,Reese,4,Great recipe
57,1917,Taylor,2,Family favorite
58,1477,Reese,5,Very simple and quick
59,1570,Sam,3,Family favorite
60,360,Alex,2,Family favorite
61,436,Sam,1,Too salty for my taste
62,1059,Avery,4,Would make again
63,570,Alex,1,Very simple and quick
64,433,Alex,2,Loved it
65,1913,Alex,3,Family favorite
66,1734,Drew,4,Not bad at all
67,771,Drew,5,Would make again
68,1044,Casey,2,Loved it
69,1176,Morgan,1,Would make again
70,747,Avery,3,Pretty good overall
71,593,Drew,5,Would make again
72,1766,Reese,1,Loved it
